round,loss,detection_rate,false_positive_rate
1,12.458389574289322,0.376,0.012842105263157896
2,12.239886686019599,0.414,0.00968421052631579
3,12.070926160924136,0.4,0.013157894736842105
4,11.81165392883122,0.384,0.01105263157894737
5,11.717879378609359,0.394,0.010947368421052631
6,11.033653879910707,0.372,0.010315789473684209
7,10.505503698531538,0.378,0.012526315789473684
8,10.182052062591538,0.37,0.012105263157894737
9,9.823871228471399,0.364,0.01273684210526316
10,9.748161984980106,0.39,0.012736842105263158
11,9.697028706595301,0.372,0.014526315789473686
12,9.230242482293397,0.362,0.014
13,9.021141848526895,0.358,0.010842105263157892
14,9.102616213262081,0.348,0.010210526315789474
15,8.704280365630984,0.38,0.010421052631578947
16,8.563671218045055,0.368,0.011368421052631578
17,8.340528280753642,0.392,0.010842105263157894
18,11.215946875233204,0.382,0.011368421052631578
19,7.709439973626286,0.38,0.010105263157894737
20,7.580746496189386,0.37,0.01031578947368421
